Subject,Encoding,Group,Cue,Target,Direction,Study_Num,JOL,Question,Recall_Num,Response
1,READ,JOL A,Delinquent,Bad,F,1,90,Delinquent - ?,1,bad
1,READ,JOL A,Digestion,Stomach,F,2,90,Digestion - ?,2,stomach
1,READ,JOL A,Wage,Money,F,3,80,Wage - ?,3,money
1,READ,JOL A,Chisel,Hammer,F,4,80,Chisel - ?,4,stone
1,READ,JOL A,Editor,News,F,5,60,Editor - ?,5,news
1,READ,JOL A,Hornet,Sting,F,6,95,Hornet - ?,6,sting
1,READ,JOL A,Bitter,Cold,F,7,50,Bitter - ?,7,sour
1,READ,JOL A,Root,Plant,F,8,80,Root - ?,8,tree
1,READ,JOL A,Swan,Bird,F,9,90,Swan - ?,9,bird
1,READ,JOL A,Paw,Dog,F,10,90,Paw - ?,10,dog
1,READ,JOL A,Way,Out,F,11,90,Way - ?,11,ago
1,READ,JOL A,Hygiene,Clean,F,12,90,Hygiene - ?,12,clean
1,READ,JOL A,Bridge,Water,F,13,90,Bridge - ?,13,water
1,READ,JOL A,Geology,Rock,F,14,90,Geology - ?,14,rock
1,READ,JOL A,Revolution,War,F,15,85,Revolution - ?,15,war
1,READ,JOL A,Discussion,Talk,F,16,90,Discussion - ?,16,questin
1,READ,JOL A,Herd,Cow,F,17,95,Herd - ?,17,cow
1,READ,JOL A,Credit,Card,F,18,100,Credit - ?,18,card
1,READ,JOL A,Orchid,Flower,F,19,90,Orchid - ?,19,flower
1,READ,JOL A,Tuna,Fish,F,20,90,Tuna - ?,20,fish
1,READ,JOL A,Full,Enough,B,21,80,Full - ?,21,enough
1,READ,JOL A,Drink,Sip,B,22,100,Drink - ?,22,water
1,READ,JOL A,Dark,Cave,B,23,90,Dark - ?,23,cave
1,READ,JOL A,Take,Seize,B,24,50,Take - ?,24,grab
1,READ,JOL A,Height,Growth,B,25,90,Height - ?,25,tall
1,READ,JOL A,Sentence,Word,B,26,70,Sentence - ?,26,word
1,READ,JOL A,Bug,Wasp,B,27,80,Bug - ?,27,wasp
1,READ,JOL A,Math,Division,B,28,90,Math - ?,28,number
1,READ,JOL A,Law,Attorney,B,29,90,Law - ?,29,order
1,READ,JOL A,Great,Fantastic,B,30,80,Great - ?,30,good
1,READ,JOL A,Key,Latch,B,31,60,Key - ?,31,latch
1,READ,JOL A,Hot,Chili,B,32,90,Hot - ?,32,cold
1,READ,JOL A,Ball,Racket,B,33,70,Ball - ?,33,catc
1,READ,JOL A,Work,Chore,B,34,50,Work - ?,34,chore
1,READ,JOL A,Hunger,Famine,B,35,70,Hunger - ?,35,food
1,READ,JOL A,Sleep,Drowsy,B,36,80,Sleep - ?,36,drowsy
1,READ,JOL A,Smell,Stench,B,37,90,Smell - ?,37,stench
1,READ,JOL A,Clothes,Attire,B,38,95,Clothes - ?,38,shirt
1,READ,JOL A,Plane,Pilot,B,39,90,Plane - ?,39,pilot
1,READ,JOL A,Fire,Blaze,B,40,90,Fire - ?,40,blaze
1,READ,JOL A,Due,Assignment,S,41,90,Due - ?,41,date
1,READ,JOL A,Number,Amount,S,42,80,Number - ?,42,letter
1,READ,JOL A,Location,Site,S,43,90,Location - ?,43,destination
1,READ,JOL A,Dump,Waste,S,44,80,Dump - ?,44,drop
1,READ,JOL A,Trial,Jury,S,45,90,Trial - ?,45,jury
1,READ,JOL A,Architecture,Design,S,46,90,Architecture - ?,46,design
1,READ,JOL A,Grill,Bar,S,47,90,Grill - ?,47,bar
1,READ,JOL A,Kidney,Liver,S,48,NA,Kidney - ?,48,lung
1,READ,JOL A,Begin,End,S,49,90,Begin - ?,49,start
1,READ,JOL A,Blow,Wind,S,50,80,Blow - ?,50,air
1,READ,JOL A,Pop,Soda,S,51,90,Pop - ?,51,corn
1,READ,JOL A,Wine,Cheese,S,52,90,Wine - ?,52,cheese
1,READ,JOL A,Bathroom,Toilet,S,53,80,Bathroom - ?,53,water
1,READ,JOL A,Lettuce,Salad,S,54,80,Lettuce - ?,54,salad
1,READ,JOL A,Shoe,Foot,S,55,80,Shoe - ?,55,lace
1,READ,JOL A,Past,Future,S,56,90,Past - ?,56,present
1,READ,JOL A,Choice,Decision,S,57,70,Choice - ?,57,made
1,READ,JOL A,Honey,Bee,S,58,100,Honey - ?,58,bee
1,READ,JOL A,Baby,Child,S,59,90,Baby - ?,59,child
1,READ,JOL A,Circle,Round,S,60,90,Circle - ?,60,round
1,READ,JOL A,Pusher,Clutter,U,61,40,Pusher - ?,61,paper
1,READ,JOL A,Dietary,Slacking,U,62,40,Dietary - ?,62,food
1,READ,JOL A,Park,Hungry,U,63,60,Park - ?,63,eat
1,READ,JOL A,Lift,Woman,U,64,60,Lift - ?,64,up
1,READ,JOL A,Soon,Belt,U,65,30,Soon - ?,65,enough
1,READ,JOL A,Discover,Floor,U,66,35,Discover - ?,66,wonder
1,READ,JOL A,Death,Business,U,67,20,Death - ?,67,ground
1,READ,JOL A,Debate,Sight,U,68,60,Debate - ?,68,question
1,READ,JOL A,Artery,Bronze,U,69,40,Artery - ?,69,heart
1,READ,JOL A,Fix,Hand,U,70,50,Fix - ?,70,up
1,READ,JOL A,Machine,Position,U,71,40,Machine - ?,71,gear
1,READ,JOL A,Happy,Car,U,72,50,Happy - ?,72,sad
1,READ,JOL A,Allow,Tuck,U,73,45,Allow - ?,73,let
1,READ,JOL A,Art,Lion,U,74,40,Art - ?,74,color
1,READ,JOL A,Strong,Accident,U,75,50,Strong - ?,75,arm
1,READ,JOL A,Sugar,Riddle,U,76,40,Sugar - ?,76,sweet
1,READ,JOL A,Valley,Add,U,77,20,Valley - ?,77,hill
1,READ,JOL A,Cash,Would,U,78,40,Cash - ?,78,money
1,READ,JOL A,Hide,Sick,U,79,40,Hide - ?,79,duck
1,READ,JOL A,King,Vase,U,80,20,King - ?,80,vase
2,READ,JOL B,Extension,Long,F,1,35,Extension - ?,1,long
2,READ,JOL B,Clue,Game,F,2,20,Clue - ?,2,game
2,READ,JOL B,Cactus,Plant,F,3,69,Cactus - ?,3,plant
2,READ,JOL B,Shoelace,Tie,F,4,39,Shoelace - ?,4,tie
2,READ,JOL B,Detective,Mystery,F,5,38,Detective - ?,5,mystery
2,READ,JOL B,Adjourn,End,F,6,33,Adjourn - ?,6,end
2,READ,JOL B,Furry,Dog,F,7,75,Furry - ?,7,dog
2,READ,JOL B,Litter,Trash,F,8,80,Litter - ?,8,trash
2,READ,JOL B,Cherry,Red,F,9,43,Cherry - ?,9,red
2,READ,JOL B,Scalp,Head,F,10,23,Scalp - ?,10,head
2,READ,JOL B,Driver,Car,F,11,39,Driver - ?,11,vehicle
2,READ,JOL B,Chop,Cut,F,12,44,Chop - ?,12,cut
2,READ,JOL B,Mule,Donkey,F,13,50,Mule - ?,13,donkey
2,READ,JOL B,Document,Paper,F,14,37,Document - ?,14,paper
2,READ,JOL B,Incense,Smell,F,15,33,Incense - ?,15,document
2,READ,JOL B,Dine,Eat,F,16,67,Dine - ?,16,eat
2,READ,JOL B,Shears,Scissors,F,17,57,Shears - ?,17,siscors
2,READ,JOL B,Feud,Fight,F,18,45,Feud - ?,18,fight
2,READ,JOL B,Chill,Cold,F,19,66,Chill - ?,19,cold
2,READ,JOL B,Affection,Love,F,20,79,Affection - ?,20,love
2,READ,JOL B,Turn,Flip,B,21,41,Turn - ?,21,
2,READ,JOL B,Car,Windshield,B,22,30,Car - ?,22,windshield
